Price Date,Open Price,High Price,Low Price,Close Price,Trade Value,Number Of Trades,Traded Quantity
20-09-2017,917,917,907.45,912.7,2627153268,46614,2883915
19-09-2017,908,916,903.5,912.25,2748642130,79618,3016665
18-09-2017,910,917.75,906.3,909.1,3868513182,77992,4237930
15-09-2017,892.3,913.25,892.2,908.25,6089408744,99888,6729730
14-09-2017,884.5,896.6,881.6,892.4,6105328297,110957,6849003
13-09-2017,885.5,887.6,881,883.75,5071927188,136009,5739114
12-09-2017,882.55,887.75,878.8,884.05,7603270020,94378,8620677
11-09-2017,890.4,891.8,873.65,878.7,6072846748,145836,6893821
08-09-2017,899,899,882.1,884.3,3820696332,78811,4302271
07-09-2017,900,900.5,892.35,895.75,2796180948,74906,3120596
06-09-2017,900,900.3,890,895.6,3459475483,126593,3867955
05-09-2017,902,905,897.25,901.9,4407506232,79400,4891696
04-09-2017,921,921.1,893.5,900.2,4600718442,141455,5088554
01-09-2017,915.95,925.9,910,919.95,3877809876,81607,4216961
31-08-2017,928.8,928.95,912.9,914.95,6886139481,174045,7511226
30-08-2017,937.2,939,924.1,926.65,7514125822,147639,8074832
29-08-2017,941.45,942,925.55,927.45,6240109664,148591,6684696
28-08-2017,943.95,953.95,938,941,19232850863,339901,20356054
24-08-2017,910,918.25,902.35,912.15,19298432842,379260,21190262
23-08-2017,880,903.7,873.9,892.8,27282913879,431562,30642095
22-08-2017,895.2,897.05,860,875.4,21575553324,436450,24621299
21-08-2017,924,924,870,873.4,40171479151,844350,45203588
18-08-2017,1017.9,1017.9,884.2,923.25,76625024333,1192900,82202480
17-08-2017,1005,1029.25,998.05,1020.85,13054759561,219380,12892130
16-08-2017,982,986.1,969,975.2,3014254126,73688,3089040
14-08-2017,988,989.2,977.15,981.45,1873162936,83142,1908235
11-08-2017,976,997,969.6,987.7,3228922463,85957,3272078
10-08-2017,969.9,987.5,969.35,981.25,4488072667,118468,4570342
09-08-2017,967.65,973.9,964.55,969.35,1901504150,74542,1961205
08-08-2017,968.5,970.25,955.05,963.85,2892578681,83371,3002324
07-08-2017,983.5,983.75,965.7,968.25,2952834608,75997,3036872
04-08-2017,988,989,976.05,983.75,2625108705,54851,2674509
03-08-2017,991,998.75,980.25,984,2292869697,64881,2320174
02-08-2017,1006,1012.75,987.2,993.35,2126780545,64338,2128792
01-08-2017,1011,1017,998.35,1005.55,3865373993,74672,3844699
31-07-2017,991.9,1021.7,986.75,1011.2,9653593591,194493,9579124
28-07-2017,976,1003,962.3,997.35,5478201640,92083,5549214
27-07-2017,996,1004,966.8,971.05,6222055607,100543,6338426
26-07-2017,998.1,999,990.4,994.05,3413852845,104013,3435012
25-07-2017,990,999,986.2,993.85,3547155444,104586,3572807
24-07-2017,983.5,994,982.6,990.55,3032646958,110820,3064588
21-07-2017,973,982.55,971.4,980.1,2925921840,68179,2990377
20-07-2017,979.3,979.85,966.95,969.45,3305085666,101526,3404870
19-07-2017,981.45,988.65,969.1,979.85,2874801640,105595,2945139
18-07-2017,986.05,1004.8,981.1,985.6,4112296075,93509,4130090
17-07-2017,975,992,974,984.05,3789602386,85783,3849125
14-07-2017,999.45,1006.85,966.05,972.05,11076697426,246571,11239090
13-07-2017,977.25,983.45,964.1,977.05,2525724825,74502,2585196
12-07-2017,974.95,981.5,968.75,972.35,3057672504,77201,3137988
11-07-2017,956.65,989.5,956.65,975.35,5648578195,113632,5769854
10-07-2017,945,1028.9,937.3,957.05,808125207.5,17862,847546
07-07-2017,943.85,945.45,933.05,935.4,2711621746,98641,2888443
06-07-2017,945,957,944.2,947,1819345351,56849,1914860
05-07-2017,959,959,945.4,950.9,2008422007,58308,2113114
04-07-2017,953.85,970,949.4,962.15,2485762341,54690,2583863
03-07-2017,941.1,955,934.6,951.9,2406192366,62128,2544462
30-06-2017,930.8,938,929,935.55,1970090052,64325,2108350
29-06-2017,930.2,947.95,926.6,930.2,7440838110,103952,7957020
28-06-2017,932.8,933,921,924.7,2733310089,98295,2952612
